"Pop" "Origin" "Array" "SampleID" "Trt" "Exp" "TrtPool" "Tmpt" "Latitude" "Longitude" "PC1" "PC2" "PC3" "PopTrtPool"
"59" "TR001" "nat" "501192_Cycle5" "TR001_C2T1" "control" "exprs" "C2" 1 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C2"
"60" "TR001" "nat" "509185_Cycle9" "TR001_C2T2" "control" "exprs" "C2" 2 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C2"
"61" "TR001" "nat" "509192_Cycle12" "TR001_C3T0" "control" "exprs" "C3" 0 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C3"
"62" "TR001" "nat" "500813_Cycle11" "TR001_C3T1" "control" "exprs" "C3" 1 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C3"
"63" "TR001" "nat" "500970_Cycle4" "TR001_C3T2" "control" "exprs" "C3" 2 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C3"
"64" "TR001" "nat" "500970_Cycle6" "TR001_D1T0" "drought" "exprs" "D1" 0 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D1"
"65" "TR001" "nat" "500970_Cycle3" "TR001_D1T1" "drought" "exprs" "D1" 1 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D1"
"66" "TR001" "nat" "500982_Cycle11" "TR001_D1T2" "drought" "exprs" "D1" 2 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D1"
"67" "TR001" "nat" "500982_Cycle1" "TR001_D2T0" "drought" "exprs" "D2" 0 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D2"
"68" "TR001" "nat" "501192_Cycle6" "TR001_D2T1" "drought" "exprs" "D2" 1 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D2"
"69" "TR001" "nat" "509195_Cycle3" "TR001_D2T2" "drought" "exprs" "D2" 2 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D2"
"70" "TR001" "nat" "500982_Cycle8" "TR001_D3T0" "drought" "exprs" "D3" 0 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D3"
"71" "TR001" "nat" "509192_Cycle3" "TR001_D3T1" "drought" "exprs" "D3" 1 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D3"
"72" "TR001" "nat" "501081_Cycle7" "TR001_D3T2" "drought" "exprs" "D3" 2 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_D3"
"73" "US001" "inv" "500982_Cycle5" "US001_C1T0" "control" "exprs" "C1" 0 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C1"
"74" "US001" "inv" "500952_Cycle9" "US001_C1T1" "control" "exprs" "C1" 1 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C1"
"75" "US001" "inv" "509195_Cycle1" "US001_C1T2" "control" "exprs" "C1" 2 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C1"
"76" "US001" "inv" "500813_Cycle3" "US001_C2T0" "control" "exprs" "C2" 0 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C2"
"77" "US001" "inv" "500952_Cycle4" "US001_C2T1" "control" "exprs" "C2" 1 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C2"
"78" "US001" "inv" "500952_Cycle5" "US001_C2T2" "control" "exprs" "C2" 2 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C2"
"79" "US001" "inv" "500982_Cycle12" "US001_C3T0" "control" "exprs" "C3" 0 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C3"
"80" "US001" "inv" "500952_Cycle1" "US001_C3T1" "control" "exprs" "C3" 1 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C3"
"81" "US001" "inv" "509195_Cycle7" "US001_C3T2" "control" "exprs" "C3" 2 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_C3"
"82" "US001" "inv" "509195_Cycle5" "US001_D1T0" "drought" "exprs" "D1" 0 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D1"
"83" "US001" "inv" "509195_Cycle8" "US001_D1T1" "drought" "exprs" "D1" 1 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D1"
"84" "US001" "inv" "509185_Cycle11" "US001_D1T2" "drought" "exprs" "D1" 2 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D1"
"85" "US001" "inv" "509196_Cycle1" "US001_D2T0" "drought" "exprs" "D2" 0 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D2"
"86" "US001" "inv" "509192_Cycle8" "US001_D2T1" "drought" "exprs" "D2" 1 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D2"
"87" "US001" "inv" "501192_Cycle11" "US001_D2T2" "drought" "exprs" "D2" 2 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D2"
"88" "US001" "inv" "501081_Cycle8" "US001_D3T0" "drought" "exprs" "D3" 0 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D3"
"89" "US001" "inv" "500813_Cycle6" "US001_D3T1" "drought" "exprs" "D3" 1 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D3"
"90" "US001" "inv" "500970_Cycle7" "US001_D3T2" "drought" "exprs" "D3" 2 45.6152333333333 -120.787533333333 2.45237433107126 -3.10195290332977 -0.992501268836097 "US001_D3"
"91" "US003" "inv" "509192_Cycle2" "US003_C1T0" "control" "exprs" "C1" 0 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C1"
"92" "US003" "inv" "509192_Cycle5" "US003_C1T1" "control" "exprs" "C1" 1 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C1"
"93" "US003" "inv" "501081_Cycle1" "US003_C1T2" "control" "exprs" "C1" 2 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C1"
"94" "US003" "inv" "500970_Cycle11" "US003_C2T0" "control" "exprs" "C2" 0 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C2"
"95" "US003" "inv" "509192_Cycle11" "US003_C2T1" "control" "exprs" "C2" 1 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C2"
"96" "US003" "inv" "501192_Cycle2" "US003_C2T2" "control" "exprs" "C2" 2 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C2"
"97" "US003" "inv" "500982_Cycle6" "US003_C3T0" "control" "exprs" "C3" 0 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C3"
"98" "US003" "inv" "501192_Cycle1" "US003_C3T1" "control" "exprs" "C3" 1 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C3"
"99" "US003" "inv" "500813_Cycle8" "US003_C3T2" "control" "exprs" "C3" 2 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_C3"
"100" "US003" "inv" "500813_Cycle10" "US003_D1T0" "drought" "exprs" "D1" 0 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D1"
"101" "US003" "inv" "500813_Cycle9" "US003_D1T1" "drought" "exprs" "D1" 1 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D1"
"102" "US003" "inv" "509185_Cycle1" "US003_D1T2" "drought" "exprs" "D1" 2 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D1"
"103" "US003" "inv" "500952_Cycle10" "US003_D2T0" "drought" "exprs" "D2" 0 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D2"
"104" "US003" "inv" "509192_Cycle6" "US003_D2T1" "drought" "exprs" "D2" 1 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D2"
"105" "US003" "inv" "509192_Cycle1" "US003_D2T2" "drought" "exprs" "D2" 2 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D2"
"106" "US003" "inv" "501192_Cycle3" "US003_D3T0" "drought" "exprs" "D3" 0 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D3"
"107" "US003" "inv" "500982_Cycle4" "US003_D3T1" "drought" "exprs" "D3" 1 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D3"
"108" "US003" "inv" "509195_Cycle2" "US003_D3T2" "drought" "exprs" "D3" 2 46.60415 -116.64175 1.01050559353571 -1.5638838035182 0.775631978582129 "US003_D3"
