"Contig"	"popLRT"	"popQ"	"popQsig"
"191"	"Contig10169"	"0.203968656889287"	0.600201722346024	FALSE
"192"	"Contig1017"	"0.0632076743533998"	0.2429934640826	FALSE
"193"	"Contig10170"	"1"	1	FALSE
"194"	"Contig10171"	"1"	1	FALSE
"195"	"Contig10172"	"0.995076230238218"	1	FALSE
"196"	"Contig10173"	"1"	1	FALSE
"197"	"Contig10174"	"0.915938745723102"	1	FALSE
"198"	"Contig10175"	"0.0377027270629225"	0.16344612094897	FALSE
"199"	"Contig10176"	"0.997423690867403"	1	FALSE
"200"	"Contig10177"	"0.00148816735211886"	0.0134360000733394	TRUE
"201"	"Contig10178"	"1"	1	FALSE
"202"	"Contig10179"	"0.326486057924874"	0.867472803046379	FALSE
"203"	"Contig1018"	"1"	1	FALSE
"204"	"Contig10180"	"0.649678578174883"	1	FALSE
"205"	"Contig10181"	"1"	1	FALSE
"206"	"Contig10182"	"0.996983976603511"	1	FALSE
"207"	"Contig10183"	"1"	1	FALSE
"208"	"Contig10184"	"1"	1	FALSE
"209"	"Contig10185"	"0.00186822440826707"	0.0160031620283674	TRUE
"210"	"Contig10186"	"0.0417789071225761"	0.177012846507539	FALSE
"211"	"Contig10187"	"0.0121791189623996"	0.067811912003784	FALSE
"212"	"Contig10188"	"0.000633397878163853"	0.00701369481347686	TRUE
"213"	"Contig10189"	"1"	1	FALSE
"214"	"Contig1019"	"1"	1	FALSE
"215"	"Contig10190"	"0.00341754069759588"	0.0254083824963561	TRUE
"216"	"Contig10191"	"6.51489028832733e-06"	0.000216802987232443	TRUE
"217"	"Contig10192"	"0.38911583765858"	0.995405779806212	FALSE
"218"	"Contig10193"	"1"	1	FALSE
"219"	"Contig10194"	"1"	1	FALSE
"220"	"Contig10195"	"0.341518619813108"	0.899086809985984	FALSE
"221"	"Contig10196"	"1"	1	FALSE
"222"	"Contig10197"	"0.420681286575449"	1	FALSE
"223"	"Contig10198"	"1"	1	FALSE
"224"	"Contig10199"	"1"	1	FALSE
"225"	"Contig102"	"0.998055764338526"	1	FALSE
"226"	"Contig1020"	"1"	1	FALSE
"227"	"Contig10200"	"1"	1	FALSE
"228"	"Contig10201"	"1"	1	FALSE
"229"	"Contig10202"	"1"	1	FALSE
"230"	"Contig10203"	"1"	1	FALSE
"231"	"Contig10204"	"1"	1	FALSE
"232"	"Contig10205"	"1"	1	FALSE
"233"	"Contig10206"	"1"	1	FALSE
"234"	"Contig10207"	"0.0124313698527773"	0.0689020811894534	FALSE
"235"	"Contig10208"	"0.997547099766324"	1	FALSE
"236"	"Contig10209"	"1"	1	FALSE
"237"	"Contig1021"	"1"	1	FALSE
"238"	"Contig10210"	"0.598824111194013"	1	FALSE
"239"	"Contig10211"	"0.0247098007463161"	0.117942188560281	FALSE
"240"	"Contig10212"	"4.88767413885416e-05"	0.000995412327711913	TRUE
"241"	"Contig10213"	"1"	1	FALSE
"242"	"Contig10214"	"1"	1	FALSE
"243"	"Contig10215"	"0.00173184512703947"	0.0151029200413572	TRUE
"244"	"Contig10216"	"1"	1	FALSE
"245"	"Contig10217"	"4.69021437105841e-05"	0.000964663437072694	TRUE
"246"	"Contig10218"	"0.0216847966843823"	0.106345677697392	FALSE
"247"	"Contig10219"	"0.999713654613007"	1	FALSE
"248"	"Contig1022"	"0.0537632394285075"	0.214084693173588	FALSE
"249"	"Contig10220"	"0.0545233143274002"	0.216265778541779	FALSE
"250"	"Contig10221"	"1"	1	FALSE
"251"	"Contig10222"	"0.000462872991924471"	0.0055778754856238	TRUE
"252"	"Contig10223"	"1"	1	FALSE
"253"	"Contig10224"	"1"	1	FALSE
"254"	"Contig10225"	"0.00985525905101563"	0.0577909039147666	FALSE
"255"	"Contig10226"	"6.71441710533422e-05"	0.0012716964290376	TRUE
"256"	"Contig10227"	"0.292323660837168"	0.794726416667769	FALSE
"257"	"Contig10228"	"1"	1	FALSE
"258"	"Contig10229"	"1"	1	FALSE
"259"	"Contig1023"	"1"	1	FALSE
"260"	"Contig10230"	"0.127980372148895"	0.418087485546797	FALSE
"261"	"Contig10231"	"1"	1	FALSE
"262"	"Contig10232"	"1"	1	FALSE
"263"	"Contig10233"	"1"	1	FALSE
"264"	"Contig10234"	"1"	1	FALSE
"265"	"Contig10235"	"1"	1	FALSE
"266"	"Contig10236"	"0.00026304353101337"	0.00360556344037733	TRUE
"267"	"Contig10237"	"0.578814591792495"	1	FALSE
"268"	"Contig10238"	"2.85462047905448e-05"	0.000662610726944924	TRUE
"269"	"Contig10239"	"0.000607014031695595"	0.00680051850012704	TRUE
"270"	"Contig1024"	"1"	1	FALSE
"271"	"Contig10240"	"1"	1	FALSE
"272"	"Contig10241"	"1"	1	FALSE
"273"	"Contig10242"	"1"	1	FALSE
"274"	"Contig10243"	"3.00229281997643e-06"	0.000120217793337429	TRUE
"275"	"Contig10244"	"0.00941628737840684"	0.0557305257926803	FALSE
"276"	"Contig10245"	"1"	1	FALSE
"277"	"Contig10246"	"0.08820112055124"	0.313658810053547	FALSE
"278"	"Contig10247"	"1"	1	FALSE
"279"	"Contig10248"	"0.463434997208974"	1	FALSE
"280"	"Contig10249"	"0.125155091881168"	0.411036237390689	FALSE
"281"	"Contig1025"	"0.0495928610950061"	0.201528584634857	FALSE
"282"	"Contig10250"	"0.0293145453411093"	0.134675210035071	FALSE
"283"	"Contig10251"	"1"	1	FALSE
"284"	"Contig10252"	"1"	1	FALSE
"285"	"Contig10253"	"1"	1	FALSE
"286"	"Contig10254"	"1.08944768996428e-14"	3.16583123011334e-11	TRUE
"287"	"Contig10255"	"0.427753445349794"	1	FALSE
"288"	"Contig10256"	"1"	1	FALSE
"289"	"Contig10257"	"0.00309806657757532"	0.0236527480082518	TRUE
"290"	"Contig10258"	"1"	1	FALSE
"291"	"Contig10259"	"1"	1	FALSE
"292"	"Contig1026"	"0.782032446406387"	1	FALSE
"293"	"Contig10260"	"0.0819326755215328"	0.296149140167064	FALSE
"294"	"Contig10261"	"0.0151579523184662"	0.0804556738524903	FALSE
"295"	"Contig10262"	"1"	1	FALSE
"296"	"Contig10263"	"0.342535710700981"	0.901297827260118	FALSE
"297"	"Contig10264"	"1"	1	FALSE
"298"	"Contig10265"	"0.344984273773756"	0.906128559336351	FALSE
"299"	"Contig10266"	"1"	1	FALSE
"300"	"Contig10267"	"1"	1	FALSE
"301"	"Contig10268"	"0.285119622542251"	0.779182259114121	FALSE
"302"	"Contig10269"	"1"	1	FALSE
"303"	"Contig1027"	"1"	1	FALSE
"304"	"Contig10270"	"1"	1	FALSE
"305"	"Contig10271"	"0.996210140213859"	1	FALSE
"306"	"Contig10272"	"1"	1	FALSE
"307"	"Contig10273"	"1"	1	FALSE
"308"	"Contig10274"	"0.413788801291546"	1	FALSE
"309"	"Contig10275"	"0.00173375635814333"	0.0151143925713341	TRUE
"310"	"Contig10276"	"0.013474870756237"	0.0733598459299319	FALSE
"311"	"Contig10277"	"1"	1	FALSE
"312"	"Contig10278"	"1"	1	FALSE
"313"	"Contig10279"	"3.36177727979295e-05"	0.00074981395000762	TRUE
"314"	"Contig1028"	"1"	1	FALSE
"315"	"Contig10280"	"1"	1	FALSE
"316"	"Contig10281"	"1"	1	FALSE
"317"	"Contig10282"	"9.59257588266323e-05"	0.00166285920296972	TRUE
"318"	"Contig10283"	"1"	1	FALSE
"319"	"Contig10284"	"0.999473402249319"	1	FALSE
"320"	"Contig10285"	"0.00665190461219746"	0.0425900563482046	TRUE
"321"	"Contig10286"	"1"	1	FALSE
"322"	"Contig10287"	"1"	1	FALSE
"323"	"Contig10288"	"1"	1	FALSE
"324"	"Contig10289"	"0.0102024486705729"	0.0594184572893806	FALSE
"325"	"Contig1029"	"0.000118749846477702"	0.00195483966319269	TRUE
"326"	"Contig10290"	"1"	1	FALSE
"327"	"Contig10291"	"1"	1	FALSE
"328"	"Contig10292"	"0.718832334448138"	1	FALSE
"329"	"Contig10293"	"1"	1	FALSE
"330"	"Contig10294"	"0.103748579332481"	0.355503021235629	FALSE
"331"	"Contig10295"	"0.0131748842331262"	0.0719964301461711	FALSE
"332"	"Contig10296"	"1"	1	FALSE
"333"	"Contig10297"	"1"	1	FALSE
"334"	"Contig10298"	"3.900078303766e-14"	9.15378378496217e-11	TRUE
"335"	"Contig10299"	"1"	1	FALSE
"336"	"Contig103"	"0.0178256853836248"	0.0913132866146813	FALSE
"337"	"Contig1030"	"0.373173246904591"	0.963413116146622	FALSE
"338"	"Contig10300"	"1"	1	FALSE
