"Contig"	"InvExprVal"	"NatExprVal"	"InvUp"	"OriginsEq"	"InvDefUp"	"InvDefDn"
"203"	"Contig6301"	8.23577591555474	5.62129575697231	TRUE	FALSE	TRUE	TRUE
"205"	"Contig6399"	10.0147869622837	9.62514156393838	TRUE	FALSE	TRUE	TRUE
"207"	"Contig65"	11.1643430835248	10.8618270054465	TRUE	FALSE	TRUE	TRUE
"209"	"Contig6601"	9.48898575529975	9.43764898543064	TRUE	TRUE	FALSE	TRUE
"211"	"Contig6649"	9.90751822529042	9.57866125174661	TRUE	FALSE	TRUE	TRUE
"213"	"Contig696"	10.4758496238515	10.5621957949321	FALSE	TRUE	FALSE	TRUE
"215"	"Contig732"	9.59181258977799	10.0462951389905	FALSE	FALSE	FALSE	FALSE
"217"	"Contig7361"	9.35818581541264	9.60514764625297	FALSE	FALSE	FALSE	FALSE
"219"	"Contig7467"	13.4266920336249	13.1244175113112	TRUE	FALSE	TRUE	TRUE
"221"	"Contig7532"	8.0656409603587	9.63560446078998	FALSE	FALSE	FALSE	FALSE
"223"	"Contig7584"	4.66050169753766	5.84490502629667	FALSE	FALSE	FALSE	FALSE
"225"	"Contig7672"	11.6802442251153	12.115012352721	FALSE	FALSE	FALSE	FALSE
"227"	"Contig7674"	10.9066088772125	11.4526759838941	FALSE	FALSE	FALSE	FALSE
"229"	"Contig7817"	13.8899388522575	14.2261659312075	FALSE	FALSE	FALSE	FALSE
"231"	"Contig7824"	10.3780316086647	10.2857539982397	TRUE	TRUE	FALSE	TRUE
"233"	"Contig7951"	8.51679798025878	7.86864783179928	TRUE	FALSE	TRUE	TRUE
"235"	"Contig7952"	5.09480932827685	3.49915945395408	TRUE	FALSE	TRUE	TRUE
"237"	"Contig8046"	4.77643737621806	5.13310042844217	FALSE	FALSE	FALSE	FALSE
"239"	"Contig8279"	7.97264580976075	8.40092846394186	FALSE	FALSE	FALSE	FALSE
"241"	"Contig8390"	8.00166143550124	10.3774361866525	FALSE	FALSE	FALSE	FALSE
"243"	"Contig8456"	7.69345384862805	7.87127661904219	FALSE	FALSE	FALSE	FALSE
"245"	"Contig8488"	11.8310325840923	11.4295448850724	TRUE	FALSE	TRUE	TRUE
"247"	"Contig8571"	4.58283649214565	3.64708274847912	TRUE	FALSE	TRUE	TRUE
"249"	"Contig8730"	10.9446940158488	9.7736405831528	TRUE	FALSE	TRUE	TRUE
"251"	"Contig8809"	6.15679873450612	4.16594729127032	TRUE	FALSE	TRUE	TRUE
"253"	"Contig8814"	8.83893917501548	9.78302074677334	FALSE	FALSE	FALSE	FALSE
"255"	"Contig8893"	8.91236947716592	9.50684477526816	FALSE	FALSE	FALSE	FALSE
"257"	"Contig8919"	8.67277314143799	10.1166893330663	FALSE	FALSE	FALSE	FALSE
"259"	"Contig8937"	6.08334164923005	6.89636536658304	FALSE	FALSE	FALSE	FALSE
"261"	"Contig900"	12.3747660604345	12.9391133103103	FALSE	FALSE	FALSE	FALSE
"263"	"Contig9139"	11.2321306125478	10.8874442915527	TRUE	FALSE	TRUE	TRUE
"265"	"Contig923"	8.47216550609669	10.0643021592055	FALSE	FALSE	FALSE	FALSE
"267"	"Contig9280"	10.5436021714371	11.1383884167134	FALSE	FALSE	FALSE	FALSE
"269"	"Contig9301"	10.8548807921707	10.773820679183	TRUE	TRUE	FALSE	TRUE
"271"	"Contig9551"	12.283462246984	11.9939503530157	TRUE	FALSE	TRUE	TRUE
"273"	"Contig9671"	7.72928348798246	6.83179346995601	TRUE	FALSE	TRUE	TRUE
"275"	"Contig9741"	4.76203127252621	6.10670072167276	FALSE	FALSE	FALSE	FALSE
"277"	"Contig9784"	12.1833285415765	10.9620050812243	TRUE	FALSE	TRUE	TRUE
"279"	"Contig9866"	11.6885368416226	11.2699600141266	TRUE	FALSE	TRUE	TRUE
"281"	"Contig9913"	10.7205236595987	11.2886793030456	FALSE	FALSE	FALSE	FALSE
"283"	"Contig9953"	12.695053890157	12.9850007105286	FALSE	FALSE	FALSE	FALSE
"285"	"Contig9980"	5.56131406604539	4.52742645680564	TRUE	FALSE	TRUE	TRUE
"287"	"DKUS022_white_c10365"	9.12544129694466	7.90124612569458	TRUE	FALSE	TRUE	TRUE
"289"	"DKUS022_white_c10490"	11.9600301912829	12.4330314669887	FALSE	FALSE	FALSE	FALSE
"291"	"DKUS022_white_c10686"	9.78541244012195	8.46777115833959	TRUE	FALSE	TRUE	TRUE
"293"	"DKUS022_white_c1116"	9.07648402062005	10.7661235025225	FALSE	FALSE	FALSE	FALSE
"295"	"DKUS022_white_c11430"	10.645259662311	10.3191942840568	TRUE	FALSE	TRUE	TRUE
"297"	"DKUS022_white_c12357"	4.52322270128256	3.82642050172586	TRUE	FALSE	TRUE	TRUE
"299"	"DKUS022_white_c12370"	12.8786628043799	12.5270716082944	TRUE	FALSE	TRUE	TRUE
"301"	"DKUS022_white_c12667"	8.89256317504437	7.13823493233304	TRUE	FALSE	TRUE	TRUE
"303"	"DKUS022_white_c13182"	11.1598469567086	9.9045380590951	TRUE	FALSE	TRUE	TRUE
"305"	"DKUS022_white_c13261"	10.0627355896029	7.7695974045351	TRUE	FALSE	TRUE	TRUE
"307"	"DKUS022_white_c13568"	8.04242294034949	7.23158636852063	TRUE	FALSE	TRUE	TRUE
"309"	"DKUS022_white_c14370"	11.6940976223703	12.9459306156891	FALSE	FALSE	FALSE	FALSE
"311"	"DKUS022_white_c14954"	6.35908342663978	5.97891882438629	TRUE	FALSE	TRUE	TRUE
"313"	"DKUS022_white_c14963"	9.25627111432133	7.88073893660471	TRUE	FALSE	TRUE	TRUE
"315"	"DKUS022_white_c15134"	6.74027253721319	7.77899584893555	FALSE	FALSE	FALSE	FALSE
"317"	"DKUS022_white_c1540"	10.6565109770014	11.0273493532515	FALSE	FALSE	FALSE	FALSE
"319"	"DKUS022_white_c15400"	8.58661049579333	7.73890687625507	TRUE	FALSE	TRUE	TRUE
"321"	"DKUS022_white_c15711"	12.0487979398465	12.0859138585715	FALSE	TRUE	FALSE	TRUE
"323"	"DKUS022_white_c1645"	8.84903780044301	8.50213104907742	TRUE	FALSE	TRUE	TRUE
"325"	"DKUS022_white_c16780"	10.7624687652528	11.1574742673404	FALSE	FALSE	FALSE	FALSE
"327"	"DKUS022_white_c17764"	13.8203333395468	13.6946377242942	TRUE	FALSE	TRUE	TRUE
"329"	"DKUS022_white_c17794"	8.18591296725913	9.67212117385239	FALSE	FALSE	FALSE	FALSE
"331"	"DKUS022_white_c17865"	6.5307038044784	7.31128492676559	FALSE	FALSE	FALSE	FALSE
"333"	"DKUS022_white_c17962"	8.90091803135014	7.49717642449011	TRUE	FALSE	TRUE	TRUE
"335"	"DKUS022_white_c18259"	11.7646615431605	11.3449656426982	TRUE	FALSE	TRUE	TRUE
